transaction_id,transaction_amount,time_of_day,distance_from_home_km,num_transactions_24h,merchant_risk_score,is_fraud
210,10.72,19,34.37,1,0.0,0
211,70.51,22,5.98,3,0.003,0
212,68.57,16,7.96,1,0.435,0
213,41.31,9,6.31,0,0.229,0
214,199.52,14,5.37,3,0.0,0
215,196.76,9,0.78,0,0.27,0
216,70.83,13,11.52,3,0.19,0
217,10.84,19,13.64,1,0.46,0
218,127.36,10,9.85,2,0.432,0
219,25.04,23,22.38,2,0.145,0
220,60.04,14,0.65,2,0.044,0
221,45.53,19,21.24,2,0.312,0
222,138.52,9,9.59,4,0.634,0
223,25.61,5,10.76,3,0.255,0
224,7.31,4,3.17,2,0.193,0
225,21.61,22,2.24,1,0.285,0
226,72.58,1,5.6,2,0.359,0
227,94.17,2,0.37,0,0.19,0
228,41.08,23,21.03,0,0.106,0
229,91.03,15,24.06,4,0.424,0
230,54.15,12,9.28,2,0.5,0
231,17.73,13,6.06,1,0.074,0
232,29.29,12,3.24,6,0.04,0
233,64.0,0,60.45,0,0.192,0
234,11.58,6,57.72,2,0.339,0
235,10.17,6,0.08,3,0.149,0
236,98.9,5,3.0,1,0.202,0
237,22.74,8,6.03,2,0.338,0
238,52.53,12,12.01,1,0.064,0
239,77.99,3,20.9,1,0.213,0
240,34.33,21,4.51,3,0.326,0
241,139.96,12,2.02,2,0.563,0
242,42.08,8,2.87,1,0.0,0
243,144.2,15,0.69,3,0.0,0
244,13.08,9,5.99,0,0.211,0
245,52.45,4,42.66,4,0.0,0
246,106.34,5,14.71,2,0.545,0
247,94.82,5,1.42,0,0.39,0
248,90.84,21,4.35,1,0.193,0
249,33.46,21,1.52,0,0.233,0
250,38.13,15,6.36,1,0.227,0
251,38.59,16,1.73,1,0.0,0
252,105.13,21,12.94,4,0.334,0
253,185.72,7,56.02,3,0.288,0
254,65.99,19,11.84,1,0.293,0
255,22.81,17,7.54,1,0.238,0
256,18.61,7,22.83,3,0.397,0
257,48.02,23,4.6,3,0.633,0
258,21.95,19,2.83,2,0.137,0
259,197.35,4,36.57,2,0.324,0
260,32.54,3,1.35,4,0.465,0
261,46.11,14,11.93,0,0.194,0
262,211.19,1,48.8,0,0.25,0
263,169.03,0,8.81,1,0.44,0
264,5.82,5,13.57,1,0.0,0
265,80.2,15,2.47,1,0.276,0
266,111.46,4,4.34,0,0.057,0
267,130.4,10,27.43,2,0.708,0
268,137.09,23,10.33,2,0.279,0
269,8.61,0,32.86,3,0.171,0
270,111.16,23,40.89,2,0.0,0
271,10.03,7,10.5,0,0.279,0
272,55.9,12,54.01,1,0.543,0
273,33.68,5,10.56,2,0.425,0
274,157.98,9,10.93,2,0.122,0
275,6.28,22,12.57,2,0.242,0
276,144.55,13,2.36,2,0.235,0
277,253.37,8,19.04,1,0.588,0
278,12.7,18,36.73,3,0.172,0
279,19.05,17,4.42,2,0.33,0
280,29.06,12,11.28,1,0.221,0
281,103.12,9,36.11,1,0.334,0
282,157.76,11,9.56,2,0.61,0
283,56.22,23,16.52,1,0.303,0
284,101.53,0,2.04,1,0.0,0
285,8.19,4,7.95,1,0.19,0
286,11.33,8,12.34,1,0.0,0
287,118.59,7,47.21,0,0.111,0
288,138.86,1,1.64,1,0.038,0
289,206.4,13,7.33,2,0.636,0
290,96.31,1,10.93,2,0.401,0
291,122.31,14,28.0,2,0.17,0
292,24.37,3,19.85,2,0.43,0
293,203.07,9,1.39,5,0.415,0
294,36.0,20,2.68,2,0.122,0
295,43.17,16,13.11,3,0.378,0
296,33.46,6,6.55,0,0.68,0
297,45.37,21,32.18,2,0.516,0
298,37.6,21,21.03,1,0.429,0
299,69.75,22,4.39,0,0.314,0
300,84.35,3,1.07,3,0.018,0
301,14.52,20,9.65,1,0.366,0
302,66.62,20,10.08,2,0.22,0
303,114.29,19,19.61,2,0.038,0
304,9.87,7,14.76,2,0.778,0
305,23.19,7,5.2,3,0.171,0
306,9.11,16,5.06,2,0.015,0
307,24.95,22,12.07,2,0.401,0
308,120.19,19,7.58,4,0.014,0
309,205.2,23,6.89,0,0.461,0
310,76.34,8,46.98,2,0.06,0
311,82.81,11,7.78,1,0.018,0
312,77.47,8,7.33,3,0.091,0
313,53.24,0,119.79,1,0.0,0
314,27.25,10,3.56,0,0.513,0
315,51.39,21,40.3,3,0.217,0
316,53.95,7,51.9,3,0.0,0
317,55.19,12,36.08,2,0.542,0
318,66.67,11,2.57,2,0.252,0
319,26.03,20,8.4,5,0.211,0
320,115.97,0,8.06,0,0.0,0
321,21.56,20,14.75,2,0.531,0
322,53.26,3,5.17,2,0.271,0
323,42.07,16,2.42,0,0.207,0
324,43.68,10,23.38,2,0.165,0
325,26.87,3,6.2,3,0.51,0
326,20.38,6,7.59,1,0.15,0
327,27.22,11,8.09,1,0.187,0
328,14.19,11,12.67,2,0.261,0
329,43.78,0,2.69,1,0.0,0
330,8.94,13,22.53,1,0.033,0
331,7.58,9,1.03,0,0.214,0
332,34.38,12,3.16,5,0.552,0
333,80.9,14,42.84,2,0.0,0
334,79.33,20,3.18,3,0.123,0
335,184.75,2,45.72,0,0.0,0
336,31.24,7,21.14,5,0.098,0
337,102.74,23,5.5,2,0.3,0
338,57.45,19,33.52,3,0.243,0
339,209.56,4,0.08,2,0.121,0
340,99.72,6,1.83,1,0.196,0
341,25.97,3,6.11,4,0.443,0
342,11.26,10,22.07,0,0.0,0
343,9.9,13,12.88,1,0.31,0
344,128.89,15,0.12,3,0.46,0
345,85.08,3,3.25,2,0.419,0
346,9.9,19,3.25,3,0.287,0
347,124.6,13,13.22,2,0.223,0
348,108.0,1,19.7,5,0.147,0
349,49.94,15,9.33,6,0.403,0
350,16.97,6,3.54,3,0.287,0
351,194.93,18,3.33,2,0.183,0
352,120.89,23,1.17,1,0.308,0
353,102.21,18,25.78,0,0.549,0
354,7.98,1,21.68,4,0.162,0
355,100.2,0,31.66,4,0.415,0
356,33.96,8,26.07,2,0.266,0
357,151.76,7,13.92,1,0.307,0
358,16.94,20,1.03,1,0.12,0
359,78.3,7,83.58,1,0.118,0
360,152.83,21,1.28,0,0.398,0
361,6.59,18,1.91,4,0.345,0
362,221.56,17,27.88,1,0.0,0
363,101.75,1,59.76,4,0.355,0
364,17.41,15,6.0,3,0.361,0
365,8.54,14,38.0,1,0.331,0
366,25.13,14,10.57,2,0.027,0
367,51.49,15,12.87,3,0.243,0
368,65.13,13,3.93,2,0.048,0
369,38.65,14,8.09,0,0.0,0
370,26.09,19,41.81,0,0.216,0
371,12.52,4,11.09,2,0.387,0
372,28.61,22,2.85,3,0.123,0
373,120.04,12,24.34,3,0.257,0
374,223.1,1,2.42,5,0.672,0
375,23.33,0,80.35,5,0.0,0
376,30.34,20,20.83,0,0.224,0
377,62.65,16,3.35,3,0.0,0
378,27.71,22,3.59,4,0.481,0
379,148.97,23,11.76,1,0.527,0
380,12.04,4,8.53,4,0.22,0
381,62.72,4,0.69,2,0.226,0
382,284.0,4,8.53,2,0.557,0
383,51.98,18,16.61,0,0.24,0
384,91.35,0,24.22,2,0.097,0
385,14.36,14,3.94,4,0.461,0
386,169.12,10,3.02,0,0.327,0
387,45.25,7,20.25,2,0.675,0
388,13.84,1,13.8,1,0.238,0
389,18.03,23,47.45,2,0.215,0
390,77.44,17,8.48,4,0.179,0
391,41.5,0,1.04,2,0.0,0
392,81.12,12,9.75,2,0.546,0
393,294.95,18,36.67,1,0.231,0
394,72.05,9,5.8,0,0.294,0
395,24.92,18,43.46,0,0.365,0
396,51.49,4,13.26,2,0.153,0
397,24.12,15,2.2,2,0.103,0
398,94.81,1,27.14,1,0.61,0
399,70.39,18,5.65,2,0.055,0
400,19.05,12,12.94,3,0.491,0
401,20.55,10,15.59,2,0.4,0
402,24.34,18,11.23,2,0.461,0
403,31.31,15,22.73,3,0.116,0
404,8.21,15,2.79,2,0.309,0
405,5.93,6,4.28,2,0.051,0
406,207.69,15,4.22,1,0.367,0
407,132.89,6,1.79,0,0.176,0
408,126.12,6,19.57,1,0.695,0
409,10.01,20,9.77,2,0.0,0
410,13.64,0,26.75,2,0.239,0
411,195.25,12,6.56,3,0.414,0
412,45.82,14,33.2,1,0.282,0
413,207.69,21,9.47,3,0.455,0
414,13.36,10,0.06,8,0.496,0
415,7.16,2,46.39,3,0.0,0
416,5.9,7,8.03,2,0.51,0
417,56.13,6,6.77,0,0.51,0
418,167.88,19,8.45,3,0.492,0
419,15.56,16,20.71,7,0.146,0
420,141.97,17,2.53,0,0.27,0
421,37.99,4,12.8,3,0.118,0
422,38.44,2,34.03,2,0.137,0
423,103.02,22,12.93,1,0.074,0
424,84.47,12,29.39,3,0.044,0
425,14.92,20,38.7,2,0.291,0
426,50.34,22,25.8,1,0.028,0
427,19.92,22,34.31,1,0.321,0
428,88.85,8,16.05,2,0.267,0
429,14.44,6,4.29,1,0.178,0
430,49.15,10,4.43,1,0.0,0
431,83.13,12,9.84,1,0.076,0
432,31.18,4,0.67,3,0.425,0
433,170.03,14,30.82,0,0.0,0
434,159.45,9,9.24,4,0.0,0
435,76.15,18,14.99,4,0.112,0
436,13.94,19,14.94,2,0.308,0
437,213.7,21,22.68,4,0.098,0
438,70.51,9,20.98,1,0.069,0
439,143.66,7,1.09,5,0.13,0
440,22.43,7,16.13,2,0.171,0
441,20.41,22,18.5,2,0.279,0
442,49.0,4,13.03,2,0.28,0
443,111.93,20,30.89,3,0.246,0
444,53.88,5,16.55,3,0.168,0
445,57.04,11,5.26,3,0.269,0
446,125.75,10,41.13,6,0.303,0
447,25.4,12,10.03,2,0.326,0
448,19.24,19,1.65,2,0.388,0
449,56.83,8,10.61,0,0.321,0
450,258.03,6,4.53,2,0.065,0
451,169.15,1,25.87,4,0.084,0
452,5.0,21,3.98,2,0.226,0
453,123.79,22,15.61,2,0.179,0
454,42.28,17,36.09,0,0.428,0
455,133.22,18,9.93,3,0.428,0
456,75.82,21,4.43,2,0.25,0
457,5.86,10,21.49,1,0.529,0
458,15.19,2,5.39,5,0.192,0
459,76.02,3,44.97,2,0.364,0
460,108.27,22,65.68,3,0.459,0
461,5.1,12,11.76,5,0.342,0
462,86.25,0,16.55,2,0.0,0
463,27.38,18,2.9,5,0.422,0
464,98.21,0,34.9,4,0.535,0
465,38.4,15,56.46,1,0.48,0
466,30.31,22,1.76,1,0.039,0
467,47.13,21,9.5,3,0.107,0
468,31.53,23,1.28,2,0.068,0
469,89.19,20,0.89,0,0.167,0
470,74.14,10,0.09,2,0.0,0
471,81.55,2,27.07,1,0.179,0
472,75.57,14,18.94,0,0.113,0
473,29.36,14,1.37,5,0.218,0
474,14.96,12,2.41,3,0.488,0
475,152.56,7,18.32,2,0.213,0
476,46.73,17,2.48,3,0.0,0
477,170.33,13,12.34,5,0.054,0
478,100.39,23,3.13,2,0.43,0
479,181.11,18,7.51,1,0.147,0
480,8.79,8,6.24,1,0.258,0
481,9.53,20,5.3,1,0.0,0
482,68.91,19,7.84,1,0.503,0
483,235.42,13,19.4,2,0.114,0
484,17.84,3,0.6,2,0.272,0
485,7.61,13,1.88,3,0.461,0
486,128.19,23,5.35,1,0.116,0
487,51.57,14,3.8,2,0.338,0
488,72.41,7,2.35,2,0.061,0
489,7.17,6,10.94,0,0.357,0
490,6.54,5,4.96,2,0.503,0
491,19.45,2,6.02,2,0.068,0
492,7.73,3,1.81,4,0.36,0
493,123.83,22,0.61,0,0.381,0
494,23.38,2,2.92,0,0.324,0
495,34.89,0,35.76,2,0.397,0
496,43.8,16,94.46,1,0.172,0
497,19.2,10,1.85,1,0.42,0
498,29.91,3,4.44,1,0.4512702263240351,0
499,30.44,0,46.08,2,0.539,0
500,80.61,11,18.69,2,0.238,0
501,37.55,11,3.46,1,0.202,0
502,35.23,16,1.4,3,0.18,0
503,66.69,17,0.7,3,0.058,0
504,20.29,7,5.19,3,0.782,0
505,104.39,11,18.56,2,0.522,0
506,110.09,18,0.94,4,0.0,0
507,47.13,0,6.67,1,0.222,0
508,87.38,3,60.3,4,0.634,1
509,32.33,2,2.8,5,0.263,0
510,162.84,20,11.47,3,0.35,0
511,101.53,20,7.79,3,0.108,0
512,258.04,6,26.99,3,0.526,0
513,7.88,15,20.44,1,0.0,0
514,33.75,10,0.18,2,0.076,0
515,35.43,4,7.62,0,0.293,0
516,53.0,21,34.21,1,0.256,0
517,11.22,7,42.64,5,0.209,0
518,38.15,17,5.11,2,0.299,0
519,87.52,11,2.64,3,0.371,0
520,71.88,11,20.07,1,0.484,0
521,22.34,23,4.93,2,0.091,0
522,118.31,7,23.14,1,0.158,0
523,403.64,11,12.12,3,0.235,0
524,116.43,16,5.86,4,0.118,0
525,80.4,4,67.24,4,0.401,0
526,22.28,14,3.27,2,0.36,0
527,84.09,8,5.98,1,0.309,0
528,94.19,21,14.78,4,0.604,0
529,35.8,16,5.14,4,0.191,0
530,75.5,1,0.69,3,0.0,0
531,12.48,20,15.81,1,0.0,0
532,11.88,0,24.58,1,0.458,0
533,10.79,10,29.31,1,0.339,0
534,44.83,20,16.64,1,0.203,0
535,61.31,11,22.48,1,0.213,0
536,98.15,0,13.91,1,0.0,0
537,86.37,9,14.86,3,0.79,0
538,15.46,23,0.09,3,0.568,0
539,84.56,14,6.61,2,0.016,0
540,32.44,6,9.77,4,0.0,0
541,108.56,14,37.63,2,0.27,0
542,167.89,22,13.97,2,0.0,0
543,21.65,17,4.2,0,0.391,0
544,132.18,18,6.64,1,0.265,0
545,60.84,8,6.65,3,0.0,0
546,43.04,9,10.02,3,0.401,0
547,12.8,13,12.16,4,0.405,0
548,206.23,4,7.15,3,0.0,0
549,64.63,5,5.71,3,0.312,0
550,11.2,23,7.54,2,0.0,0
551,10.21,16,8.32,3,0.614,0
552,31.71,0,10.84,3,0.569,0
553,27.48,20,19.48,1,0.276,0
554,75.05,23,8.58,2,0.532,0
555,32.93,5,2.68,3,0.204,0
556,73.32,7,5.42,2,0.0,0
557,54.17,4,2.98,4,0.286,0
558,8.88,7,2.45,0,0.0,0
559,210.85,19,10.17,2,0.186,0
560,90.78,15,0.19,1,0.231,0
561,87.01,3,6.39,4,0.067,1
562,194.84,0,1.94,0,0.058,0
563,243.46,3,2.23,1,0.224,0
564,55.92,15,1.02,2,0.534,0
565,93.83,19,29.62,2,0.244,0
566,148.13,7,1.41,0,0.235,0
567,103.49,7,4.31,5,0.0,0
568,91.31,11,13.44,4,0.296,0
569,128.32,7,29.57,1,0.394,0
570,28.47,3,11.09,0,0.491,0
571,101.65,16,16.41,3,0.328,0
572,112.04,22,11.4,1,0.162,0
573,34.96,7,4.84,1,0.17,0
574,128.02,9,5.77,2,0.324,0
575,82.1,16,2.84,1,0.0,0
576,81.01,20,28.57,2,0.312,0
577,108.22,9,14.77,1,0.33,0
578,6.66,10,6.43,5,0.131,0
579,41.17,4,4.01,1,0.251,0
580,123.19,19,12.92,2,0.402,0
581,202.75,10,6.71,2,0.0,0
582,5.37,16,7.64,3,0.161,0
583,37.73,3,8.66,0,0.156,0
584,11.76,8,1.39,0,0.385,0
585,149.68,7,3.21,1,0.385,0
586,60.98,11,6.29,4,0.007,0
587,19.04,21,4.91,1,0.335,0
588,39.15,12,6.83,4,0.313,0
589,49.66,5,60.18,1,0.448,0
590,30.6,8,46.92,1,0.298,0
591,13.14,17,20.19,1,0.144,0
592,11.51,15,2.53,1,0.552,0
593,165.21,1,2.24,3,0.0,0
594,137.35,4,19.97,2,0.258,0
595,61.93,14,53.79,2,0.02,0
596,95.87,17,27.23,3,0.221,0
597,51.54,5,49.24,1,0.432,0
598,37.85,14,0.57,1,0.18,0
599,297.45,9,0.16,3,0.053,0
600,82.97,14,38.74,3,0.413,0
601,73.82,10,1.09,2,0.312,0
602,23.38,17,4.04,3,0.194,0
603,21.91,3,21.89,3,0.109,0
604,36.1,23,27.1,2,0.242,0
605,18.84,0,16.57,3,0.137,0
606,49.26,11,6.38,2,0.281,0
607,33.29,22,1.82,3,0.0,0
608,19.79,14,6.75,3,0.414,0
609,19.67,21,22.66,1,0.0,0
610,202.15,15,12.61,1,0.472,0
611,18.18,13,13.8,3,0.605,0
612,98.72,17,0.6,4,0.0,0
613,22.58,5,12.65,1,0.19,0
614,210.84,14,7.64,3,0.627,0
615,139.88,13,11.36,2,0.179,0
616,90.05,10,33.8,3,0.392,0
617,16.05,22,15.62,1,0.389,0
618,25.76,1,21.82,2,0.373,0
619,73.86,16,37.95,2,0.299,0
620,9.11,2,0.45,1,0.044,0
621,11.59,20,21.26,1,0.148,0
622,14.55,3,24.87,1,0.133,0
623,237.34,16,24.55,3,0.489,0
624,25.94,9,14.01,1,0.564,0
625,19.05,18,6.71,2,0.0,0
626,9.91,23,5.99,0,0.471,0
627,48.0,21,6.97,3,0.336,0
628,34.78,4,19.25,2,0.085,0
629,75.63,17,6.73,2,0.124,0
630,85.35,17,10.98,1,0.405,0
631,79.12,21,6.14,1,0.285,0
632,125.68,15,5.96,2,0.068,0
633,6.44,6,7.94,1,0.319,0
634,44.89,8,8.98,2,0.374,0
635,47.37,17,4.75,4,0.395,0
636,28.87,5,4.91,5,0.67,0
637,84.68,11,4.02,3,0.608,0
638,50.01,6,8.72,5,0.013,0
639,44.6,1,4.79,1,0.195,0
640,57.41,13,26.43,2,0.28,0
641,99.5,23,13.8,1,0.824,0
642,41.51,14,64.53,5,0.245,0
643,36.8,14,9.4,3,0.0,0
644,17.22,5,5.82,1,0.054,0
645,31.15,7,1.75,0,0.143,0
646,209.41,1,7.92,2,0.138,0
647,42.4,3,8.69,2,0.232,0
648,21.17,19,17.36,2,0.777,0
649,38.83,11,39.5,2,0.297,0
650,105.98,16,30.75,4,0.412,0
651,41.81,21,1.47,5,0.342,0
652,64.19,9,18.71,4,0.34,0
653,123.48,20,15.15,1,0.367,0
654,48.48,4,2.56,1,0.409,0
655,21.49,6,11.61,4,0.105,0
656,38.48,23,5.01,2,0.433,0
657,22.24,13,25.23,1,0.318,0
658,8.71,11,2.24,1,0.817,0
659,56.16,8,3.06,4,0.123,0
660,23.62,4,29.3,4,0.097,0
661,54.73,5,6.46,3,0.366,0
662,301.84,15,16.29,3,0.304,0
663,47.13,18,20.04,2,0.142,0
664,40.41,4,1.2,0,0.0,0
665,48.18,9,15.23,3,0.0,0
666,146.37,18,17.12,1,0.0,0
667,107.87,14,4.69,0,0.026,0
668,73.45,5,7.4,2,0.132,0
669,17.79,6,64.32,1,0.56,0
670,47.84,6,7.24,1,0.451,0
671,9.34,16,5.12,0,0.249,0
672,61.6,7,24.67,4,0.0,0
673,9.07,2,44.48,2,0.579,0
674,24.53,18,5.49,0,0.157,0
675,42.1,13,7.52,1,0.583,0
676,32.78,19,3.81,5,0.184,0
677,40.6,1,24.11,2,0.15,0
678,44.41,2,2.55,0,0.14,0
679,62.05,5,3.2,4,0.0,0
680,51.76,0,7.57,0,0.115,0
681,126.01,14,6.58,1,0.182,0
682,69.34,9,38.1,3,0.402,0
683,52.4,2,5.9,3,0.421,0
684,135.65,22,6.91,1,0.373,0
685,166.37,14,8.05,1,0.071,0
686,28.4,1,6.72,3,0.142,0
687,104.57,23,28.33,1,0.678,0
688,45.27,23,11.18,1,0.0,0
689,76.11,2,9.34,2,0.315,0
690,29.62,1,3.35,3,0.513,0
691,30.91,16,6.8,3,0.052,0
692,5.42,2,3.78,2,0.161,0
693,162.23,9,1.23,4,0.117,0
694,107.65,8,20.07,1,0.559,0
